Comuna,Tramo 40,Tramo 50,Tramo 60,Tramo 70,Tramo 80,Tramo 90,Tramo 100,Sin información*,Total,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
Ñuñoa,37303.0,9175.0,9525.0,10634.0,12504.0,43056.0,24466.0,0.0,146663.0,Ñuñoa,37303.0,9175.0,9525.0,10634.0,12504.0,43056.0,24466.0,0.0,146663.0
Pedro Aguirre Cerda,56401.0,9798.0,8224.0,6846.0,7688.0,10582.0,3183.0,0.0,102722.0,Pedro Aguirre Cerda,56401.0,9798.0,8224.0,6846.0,7688.0,10582.0,3183.0,0.0,102722.0
Peñalolén,103589.0,17252.0,15710.0,14075.0,15279.0,28866.0,10189.0,0.0,204960.0,Peñalolén,103589.0,17252.0,15710.0,14075.0,15279.0,28866.0,10189.0,0.0,204960.0
Providencia,13940.0,3586.0,3582.0,4519.0,5181.0,20421.0,13287.0,0.0,64516.0,Providencia,13940.0,3586.0,3582.0,4519.0,5181.0,20421.0,13287.0,0.0,64516.0
Pudahuel,107127.0,18649.0,16520.0,15322.0,18478.0,31050.0,10493.0,0.0,217639.0,Pudahuel,107127.0,18649.0,16520.0,15322.0,18478.0,31050.0,10493.0,0.0,217639.0
Quilicura,84960.0,16600.0,15630.0,15006.0,18892.0,33547.0,10681.0,0.0,195316.0,Quilicura,84960.0,16600.0,15630.0,15006.0,18892.0,33547.0,10681.0,0.0,195316.0
Quinta Normal,57426.0,10447.0,10085.0,9385.0,10833.0,16621.0,5617.0,0.0,120414.0,Quinta Normal,57426.0,10447.0,10085.0,9385.0,10833.0,16621.0,5617.0,0.0,120414.0
Recoleta,82182.0,13392.0,12414.0,11737.0,12463.0,18326.0,5995.0,0.0,156509.0,Recoleta,82182.0,13392.0,12414.0,11737.0,12463.0,18326.0,5995.0,0.0,156509.0
Renca,76209.0,12985.0,11543.0,10242.0,11662.0,16134.0,4625.0,0.0,143400.0,Renca,76209.0,12985.0,11543.0,10242.0,11662.0,16134.0,4625.0,0.0,143400.0
San Joaquín,52602.0,7979.0,7454.0,6583.0,7950.0,12461.0,4397.0,0.0,99426.0,San Joaquín,52602.0,7979.0,7454.0,6583.0,7950.0,12461.0,4397.0,0.0,99426.0
San Miguel,40096.0,7529.0,7873.0,8469.0,10865.0,26151.0,12910.0,0.0,113893.0,San Miguel,40096.0,7529.0,7873.0,8469.0,10865.0,26151.0,12910.0,0.0,113893.0
San Ramón,50343.0,7473.0,6343.0,5461.0,6186.0,7635.0,2243.0,0.0,85684.0,San Ramón,50343.0,7473.0,6343.0,5461.0,6186.0,7635.0,2243.0,0.0,85684.0
Vitacura,3386.0,1030.0,1128.0,1343.0,1467.0,10585.0,5408.0,0.0,24347.0,Vitacura,3386.0,1030.0,1128.0,1343.0,1467.0,10585.0,5408.0,0.0,24347.0
Puente Alto,245504.0,44400.0,40936.0,38326.0,46952.0,80333.0,26385.0,0.0,522836.0,Puente Alto,245504.0,44400.0,40936.0,38326.0,46952.0,80333.0,26385.0,0.0,522836.0
Pirque,11720.0,2058.0,1939.0,1658.0,1840.0,4049.0,1332.0,0.0,24596.0,Pirque,11720.0,2058.0,1939.0,1658.0,1840.0,4049.0,1332.0,0.0,24596.0
San José de Maipo,8348.0,1319.0,1168.0,1022.0,1272.0,2278.0,784.0,0.0,16191.0,San José de Maipo,8348.0,1319.0,1168.0,1022.0,1272.0,2278.0,784.0,0.0,16191.0
Colina,62403.0,8978.0,7617.0,6980.0,8164.0,17313.0,6675.0,0.0,118130.0,Colina,62403.0,8978.0,7617.0,6980.0,8164.0,17313.0,6675.0,0.0,118130.0
Lampa,54186.0,7590.0,6614.0,6483.0,7990.0,16675.0,5453.0,0.0,104991.0,Lampa,54186.0,7590.0,6614.0,6483.0,7990.0,16675.0,5453.0,0.0,104991.0
Tiltil,9620.0,1523.0,1314.0,1194.0,1492.0,2882.0,1026.0,0.0,19051.0,Tiltil,9620.0,1523.0,1314.0,1194.0,1492.0,2882.0,1026.0,0.0,19051.0
San Bernardo,150314.0,24493.0,21920.0,19918.0,23384.0,36693.0,12025.0,0.0,288747.0,San Bernardo,150314.0,24493.0,21920.0,19918.0,23384.0,36693.0,12025.0,0.0,288747.0
Buin,52401.0,8073.0,7146.0,6400.0,8288.0,14605.0,5174.0,0.0,102087.0,Buin,52401.0,8073.0,7146.0,6400.0,8288.0,14605.0,5174.0,0.0,102087.0
Calera de Tango,11125.0,1885.0,1600.0,1463.0,1539.0,2921.0,956.0,0.0,21489.0,Calera de Tango,11125.0,1885.0,1600.0,1463.0,1539.0,2921.0,956.0,0.0,21489.0
Paine,43020.0,6455.0,5500.0,5038.0,5518.0,8511.0,2482.0,0.0,76524.0,Paine,43020.0,6455.0,5500.0,5038.0,5518.0,8511.0,2482.0,0.0,76524.0
Melipilla,76880.0,11117.0,9465.0,8328.0,8776.0,13275.0,4635.0,0.0,132476.0,Melipilla,76880.0,11117.0,9465.0,8328.0,8776.0,13275.0,4635.0,0.0,132476.0
Alhué,3690.0,586.0,503.0,393.0,510.0,1213.0,453.0,0.0,7348.0,Alhué,3690.0,586.0,503.0,393.0,510.0,1213.0,453.0,0.0,7348.0
Curacaví,20116.0,2754.0,2274.0,2017.0,2236.0,4046.0,1378.0,0.0,34821.0,Curacaví,20116.0,2754.0,2274.0,2017.0,2236.0,4046.0,1378.0,0.0,34821.0
María Pinto,8890.0,1398.0,1023.0,910.0,1029.0,1617.0,503.0,0.0,15370.0,María Pinto,8890.0,1398.0,1023.0,910.0,1029.0,1617.0,503.0,0.0,15370.0
San Pedro,6454.0,942.0,738.0,574.0,583.0,948.0,265.0,0.0,10504.0,San Pedro,6454.0,942.0,738.0,574.0,583.0,948.0,265.0,0.0,10504.0
Talagante,39067.0,5855.0,5105.0,4631.0,5632.0,9910.0,3173.0,0.0,73373.0,Talagante,39067.0,5855.0,5105.0,4631.0,5632.0,9910.0,3173.0,0.0,73373.0
El Monte,22190.0,2962.0,2561.0,2170.0,2686.0,3687.0,1137.0,0.0,37393.0,El Monte,22190.0,2962.0,2561.0,2170.0,2686.0,3687.0,1137.0,0.0,37393.0
Isla de Maipo,19758.0,2938.0,2515.0,2248.0,2464.0,3950.0,1248.0,0.0,35121.0,Isla de Maipo,19758.0,2938.0,2515.0,2248.0,2464.0,3950.0,1248.0,0.0,35121.0
Padre Hurtado,33597.0,5627.0,5200.0,4660.0,5655.0,10364.0,3530.0,0.0,68633.0,Padre Hurtado,33597.0,5627.0,5200.0,4660.0,5655.0,10364.0,3530.0,0.0,68633.0
Peñaflor,40803.0,7510.0,6844.0,6303.0,7023.0,12827.0,4240.0,0.0,85550.0,Peñaflor,40803.0,7510.0,6844.0,6303.0,7023.0,12827.0,4240.0,0.0,85550.0
Región Metropolitana,3003712.0,523192.0,486072.0,456187.0,537437.0,1000589.0,395132.0,0.0,6402321.0,Total,3003712.0,523192.0,486072.0,456187.0,537437.0,1000589.0,395132.0,0.0,6402321.0
