
;;;;;;;;;;
Código;Región;Nombre comuna;Número de personas según proyecciones de población (*);Número de personas en situación de pobreza por ingresos (**);Porcentaje de personas en situación de pobreza por ingresos 2020;Límite inferior;Límite superior;Presencia de la comuna en la muestra Casen;Tipo de estimación SAE (***);
3201;III de Atacama;Chañaral;13.143;1.337;10,17%;7,06%;13,28%;Si;Directa y Sintética (Fay-Herriot);
3202;III de Atacama;Diego De Almagro;14.302;1.148;8,03%;5,79%;10,27%;Si;Directa y Sintética (Fay-Herriot);
3301;III de Atacama;Vallenar;57.049;5.590;9,80%;7,72%;11,88%;Si;Directa y Sintética (Fay-Herriot);
3302;III de Atacama;Alto Del Carmen;5.735;715;12,47%;8,00%;16,95%;Si;Sintética;
3303;III de Atacama;Freirina;7.707;965;12,52%;8,80%;16,24%;Si;Sintética;
3304;III de Atacama;Huasco;11.301;1.050;9,29%;6,44%;12,15%;Si;Directa y Sintética (Fay-Herriot);
4101;IV de Coquimbo;La Serena;251.612;29.113;11,57%;9,11%;14,04%;Si;Directa y Sintética (Fay-Herriot);
4102;IV de Coquimbo;Coquimbo;258.775;27.842;10,76%;8,33%;13,19%;Si;Directa y Sintética (Fay-Herriot);
4103;IV de Coquimbo;Andacollo;11.799;1.318;11,17%;7,84%;14,50%;Si;Directa y Sintética (Fay-Herriot);
4104;IV de Coquimbo;La Higuera;4.463;695;15,58%;11,18%;19,97%;Si;Sintética;
4105;IV de Coquimbo;Paiguano;4.675;565;12,09%;8,18%;16,00%;Si;Sintética;
4106;IV de Coquimbo;Vicuña;29.850;4.175;13,99%;10,32%;17,65%;Si;Directa y Sintética (Fay-Herriot);
4201;IV de Coquimbo;Illapel;32.839;3.908;11,90%;8,16%;15,64%;Si;Directa y Sintética (Fay-Herriot);
4202;IV de Coquimbo;Canela;9.547;1.397;14,63%;10,32%;18,93%;Si;Sintética;
4203;IV de Coquimbo;Los Vilos;23.495;3.491;14,86%;10,90%;18,81%;Si;Directa y Sintética (Fay-Herriot);
4204;IV de Coquimbo;Salamanca;29.216;2.805;9,60%;6,17%;13,04%;Si;Directa y Sintética (Fay-Herriot);
4301;IV de Coquimbo;Ovalle;121.621;13.509;11,11%;8,19%;14,03%;Si;Directa y Sintética (Fay-Herriot);
4302;IV de Coquimbo;Combarbalá;13.894;1.860;13,39%;9,72%;17,05%;Si;Directa y Sintética (Fay-Herriot);
4303;IV de Coquimbo;Monte Patria;32.565;5.226;16,05%;12,51%;19,58%;Si;Directa y Sintética (Fay-Herriot);
4304;IV de Coquimbo;Punitaqui;12.208;1.775;14,54%;11,02%;18,06%;Si;Directa y Sintética (Fay-Herriot);
4305;IV de Coquimbo;Río Hurtado;4.360;566;12,97%;9,25%;16,70%;Si;Sintética;
5101;V de Valparaíso;Valparaíso;316.251;42.104;13,31%;10,83%;15,79%;Si;Directa y Sintética (Fay-Herriot);
5102;V de Valparaíso;Casablanca;29.322;2.816;9,60%;6,70%;12,51%;Si;Directa y Sintética (Fay-Herriot);
5103;V de Valparaíso;Concón;46.156;3.767;8,16%;5,56%;10,76%;Si;Directa y Sintética (Fay-Herriot);
5104;V de Valparaíso;Juan Fernández;1.042;127;12,23%;7,65%;16,81%;No;Sintética;
5105;V de Valparaíso;Puchuncaví;20.197;2.685;13,29%;10,06%;16,53%;Si;Directa y Sintética (Fay-Herriot);
5107;V de Valparaíso;Quintero;36.420;4.961;13,62%;10,33%;16,92%;Si;Directa y Sintética (Fay-Herriot);
5109;V de Valparaíso;Viña Del Mar;362.492;39.775;10,97%;8,98%;12,97%;Si;Directa y Sintética (Fay-Herriot);
5201;V de Valparaíso;Isla De Pascua;8.347;983;11,77%;6,73%;16,82%;No;Sintética;
5301;V de Valparaíso;Los Andes;68.169;7.015;10,29%;7,68%;12,90%;Si;Directa y Sintética (Fay-Herriot);
5302;V de Valparaíso;Calle Larga;16.615;1.907;11,47%;8,30%;14,65%;Si;Directa y Sintética (Fay-Herriot);
5303;V de Valparaíso;Rinconada;11.357;1.378;12,13%;8,73%;15,53%;Si;Directa y Sintética (Fay-Herriot);
5304;V de Valparaíso;San Esteban;20.779;2.240;10,78%;7,69%;13,87%;Si;Directa y Sintética (Fay-Herriot);
5401;V de Valparaíso;La Ligua;37.836;4.996;13,20%;9,78%;16,63%;Si;Directa y Sintética (Fay-Herriot);
5402;V de Valparaíso;Cabildo;20.679;1.780;8,61%;5,09%;12,13%;Si;Sintética;
5403;V de Valparaíso;Papudo;6.238;842;13,49%;9,84%;17,14%;Si;Sintética;
5404;V de Valparaíso;Petorca;10.569;1.217;11,52%;8,36%;14,67%;Si;Directa y Sintética (Fay-Herriot);
5405;V de Valparaíso;Zapallar;8.041;690;8,58%;5,58%;11,58%;Si;Sintética;
5501;V de Valparaíso;Quillota;97.945;9.979;10,19%;7,37%;13,00%;Si;Directa y Sintética (Fay-Herriot);
5502;V de Valparaíso;Calera;53.639;7.151;13,33%;10,16%;16,50%;Si;Directa y Sintética (Fay-Herriot);
5503;V de Valparaíso;Hijuelas;19.141;2.531;13,22%;9,84%;16,61%;Si;Sintética;
5504;V de Valparaíso;La Cruz;25.609;2.211;8,63%;5,43%;11,84%;Si;Sintética;
5506;V de Valparaíso;Nogales;23.517;2.937;12,49%;9,25%;15,72%;Si;Directa y Sintética (Fay-Herriot);
5601;V de Valparaíso;San Antonio;96.992;11.254;11,60%;8,58%;14,62%;Si;Directa y Sintética (Fay-Herriot);
5602;V de Valparaíso;Algarrobo;15.257;1.478;9,69%;6,83%;12,54%;Si;Directa y Sintética (Fay-Herriot);
5603;V de Valparaíso;Cartagena;25.544;4.710;18,44%;14,84%;22,03%;Si;Directa y Sintética (Fay-Herriot);
5604;V de Valparaíso;El Quisco;17.869;2.129;11,91%;8,75%;15,08%;Si;Directa y Sintética (Fay-Herriot);
5605;V de Valparaíso;El Tabo;14.441;2.186;15,14%;11,23%;19,04%;Si;Sintética;
5606;V de Valparaíso;Santo Domingo;12.017;994;8,27%;5,33%;11,22%;Si;Sintética;
5701;V de Valparaíso;San Felipe;83.871;9.220;10,99%;8,24%;13,75%;Si;Directa y Sintética (Fay-Herriot);
5702;V de Valparaíso;Catemu;15.275;1.684;11,02%;8,28%;13,77%;Si;Directa y Sintética (Fay-Herriot);
5703;V de Valparaíso;Llaillay;26.631;3.328;12,50%;9,21%;15,78%;Si;Directa y Sintética (Fay-Herriot);
5704;V de Valparaíso;Panquehue;7.659;817;10,66%;8,11%;13,22%;Si;Directa y Sintética (Fay-Herriot);
5705;V de Valparaíso;Putaendo;17.680;2.382;13,47%;10,38%;16,57%;Si;Directa y Sintética (Fay-Herriot);
5706;V de Valparaíso;Santa María;16.439;2.014;12,25%;9,12%;15,38%;Si;Directa y Sintética (Fay-Herriot);
5801;V de Valparaíso;Quilpué;167.808;15.551;9,27%;6,86%;11,67%;Si;Directa y Sintética (Fay-Herriot);
5802;V de Valparaíso;Limache;50.112;5.247;10,47%;7,35%;13,59%;Si;Directa y Sintética (Fay-Herriot);
5803;V de Valparaíso;Olmué;19.382;2.953;15,23%;11,26%;19,21%;Si;Sintética;
5804;V de Valparaíso;Villa Alemana;140.183;12.986;9,26%;6,85%;11,68%;Si;Directa y Sintética (Fay-Herriot);
6101;VI del Libertador General Bernardo O'Higgins;Rancagua;266.271;23.729;8,91%;7,25%;10,57%;Si;Directa y Sintética (Fay-Herriot);
6102;VI del Libertador General Bernardo O'Higgins;Codegua;14.144;1.841;13,02%;8,98%;17,05%;Si;Sintética;
6103;VI del Libertador General Bernardo O'Higgins;Coinco;7.860;1.037;13,19%;9,66%;16,72%;Si;Directa y Sintética (Fay-Herriot);
6104;VI del Libertador General Bernardo O'Higgins;Coltauco;21.364;2.372;11,10%;8,00%;14,20%;Si;Directa y Sintética (Fay-Herriot);
6105;VI del Libertador General Bernardo O'Higgins;Doñihue;22.813;2.084;9,14%;6,19%;12,08%;Si;Directa y Sintética (Fay-Herriot);
6106;VI del Libertador General Bernardo O'Higgins;Graneros;36.705;3.774;10,28%;7,20%;13,37%;Si;Directa y Sintética (Fay-Herriot);
6107;VI del Libertador General Bernardo O'Higgins;Las Cabras;26.842;2.988;11,13%;7,96%;14,31%;Si;Directa y Sintética (Fay-Herriot);
6108;VI del Libertador General Bernardo O'Higgins;Machalí;60.462;4.209;6,96%;4,58%;9,35%;Si;Directa y Sintética (Fay-Herriot);
6109;VI del Libertador General Bernardo O'Higgins;Malloa;14.186;1.679;11,84%;8,36%;15,32%;Si;Sintética;
6110;VI del Libertador General Bernardo O'Higgins;Mostazal;27.589;3.515;12,74%;8,95%;16,53%;Si;Sintética;
6111;VI del Libertador General Bernardo O'Higgins;Olivar;14.666;1.610;10,98%;7,85%;14,11%;Si;Directa y Sintética (Fay-Herriot);
6112;VI del Libertador General Bernardo O'Higgins;Peumo;14.962;1.376;9,20%;6,35%;12,05%;Si;Directa y Sintética (Fay-Herriot);
6113;VI del Libertador General Bernardo O'Higgins;Pichidegua;20.792;2.402;11,55%;8,64%;14,46%;Si;Directa y Sintética (Fay-Herriot);
6114;VI del Libertador General Bernardo O'Higgins;Quinta De Tilcoco;13.922;1.820;13,08%;9,60%;16,55%;Si;Directa y Sintética (Fay-Herriot);
6115;VI del Libertador General Bernardo O'Higgins;Rengo;63.960;6.726;10,52%;7,81%;13,22%;Si;Directa y Sintética (Fay-Herriot);
6116;VI del Libertador General Bernardo O'Higgins;Requínoa;30.530;3.198;10,48%;7,11%;13,84%;Si;Directa y Sintética (Fay-Herriot);
6117;VI del Libertador General Bernardo O'Higgins;San Vicente;50.819;4.620;9,09%;6,45%;11,73%;Si;Directa y Sintética (Fay-Herriot);
6201;VI del Libertador General Bernardo O'Higgins;Pichilemu;17.986;1.939;10,78%;7,71%;13,86%;Si;Directa y Sintética (Fay-Herriot);
6202;VI del Libertador General Bernardo O'Higgins;La Estrella;3.121;235;7,53%;4,22%;10,83%;Si;Sintética;
6203;VI del Libertador General Bernardo O'Higgins;Litueche;6.790;827;12,18%;8,71%;15,65%;Si;Sintética;
6204;VI del Libertador General Bernardo O'Higgins;Marchihue;7.645;828;10,83%;7,61%;14,05%;Si;Directa y Sintética (Fay-Herriot);
6205;VI del Libertador General Bernardo O'Higgins;Navidad;6.929;996;14,38%;10,79%;17,96%;Si;Directa y Sintética (Fay-Herriot);
6206;VI del Libertador General Bernardo O'Higgins;Paredones;6.343;860;13,56%;9,58%;17,54%;Si;Sintética;
6301;VI del Libertador General Bernardo O'Higgins;San Fernando;78.930;7.041;8,92%;6,59%;11,25%;Si;Directa y Sintética (Fay-Herriot);
6302;VI del Libertador General Bernardo O'Higgins;Chépica;15.964;2.225;13,94%;10,45%;17,42%;Si;Directa y Sintética (Fay-Herriot);
6303;VI del Libertador General Bernardo O'Higgins;Chimbarongo;37.779;4.034;10,68%;7,69%;13,67%;Si;Directa y Sintética (Fay-Herriot);
6304;VI del Libertador General Bernardo O'Higgins;Lolol;7.316;1.052;14,38%;10,77%;17,98%;Si;Directa y Sintética (Fay-Herriot);
6305;VI del Libertador General Bernardo O'Higgins;Nancagua;19.211;2.442;12,71%;9,23%;16,19%;Si;Sintética;
6306;VI del Libertador General Bernardo O'Higgins;Palmilla;13.337;1.344;10,08%;7,16%;13,00%;Si;Directa y Sintética (Fay-Herriot);
6307;VI del Libertador General Bernardo O'Higgins;Peralillo;11.894;1.355;11,39%;8,20%;14,58%;Si;Directa y Sintética (Fay-Herriot);
6308;VI del Libertador General Bernardo O'Higgins;Placilla;9.175;1.160;12,64%;8,95%;16,33%;Si;Sintética;
6309;VI del Libertador General Bernardo O'Higgins;Pumanque;3.524;458;12,99%;8,77%;17,21%;Si;Sintética;
6310;VI del Libertador General Bernardo O'Higgins;Santa Cruz;41.263;3.158;7,65%;4,87%;10,44%;Si;Directa y Sintética (Fay-Herriot);
7101;VII del Maule;Talca;237.343;25.476;10,73%;8,57%;12,89%;Si;Directa y Sintética (Fay-Herriot);
7102;VII del Maule;Constitución;50.368;5.555;11,03%;7,97%;14,09%;Si;Directa y Sintética (Fay-Herriot);
7103;VII del Maule;Curepto;9.381;1.189;12,68%;9,24%;16,12%;Si;Sintética;
7104;VII del Maule;Empedrado;4.209;688;16,35%;12,40%;20,30%;Si;Sintética;
7105;VII del Maule;Maule;60.989;7.737;12,69%;8,67%;16,70%;Si;Directa y Sintética (Fay-Herriot);
7106;VII del Maule;Pelarco;9.110;1.297;14,24%;10,99%;17,48%;Si;Directa y Sintética (Fay-Herriot);
7107;VII del Maule;Pencahue;8.600;1.064;12,37%;8,67%;16,07%;Si;Sintética;
7108;VII del Maule;Río Claro;14.799;1.869;12,63%;8,94%;16,31%;Si;Sintética;
7109;VII del Maule;San Clemente;46.479;6.946;14,94%;11,49%;18,40%;Si;Directa y Sintética (Fay-Herriot);
7110;VII del Maule;San Rafael;10.000;1.304;13,04%;9,31%;16,76%;Si;Sintética;
7201;VII del Maule;Cauquenes;44.164;5.779;13,09%;9,88%;16,29%;Si;Directa y Sintética (Fay-Herriot);
7202;VII del Maule;Chanco;9.327;1.467;15,73%;11,99%;19,47%;Si;Directa y Sintética (Fay-Herriot);
7203;VII del Maule;Pelluhue;8.133;1.277;15,70%;11,62%;19,79%;Si;Sintética;
7301;VII del Maule;Curicó;164.447;16.534;10,05%;7,83%;12,27%;Si;Directa y Sintética (Fay-Herriot);
7302;VII del Maule;Hualañé;10.228;1.300;12,71%;9,33%;16,10%;Si;Directa y Sintética (Fay-Herriot);
7303;VII del Maule;Licantén;6.992;909;13,00%;9,46%;16,54%;Si;Directa y Sintética (Fay-Herriot);
7304;VII del Maule;Molina;50.039;6.496;12,98%;9,68%;16,28%;Si;Directa y Sintética (Fay-Herriot);
7305;VII del Maule;Rauco;11.310;1.579;13,96%;10,37%;17,55%;Si;Sintética;
7306;VII del Maule;Romeral;16.247;1.946;11,98%;8,32%;15,64%;Si;Sintética;
7307;VII del Maule;Sagrada Familia;19.513;2.193;11,24%;7,97%;14,51%;Si;Directa y Sintética (Fay-Herriot);
7308;VII del Maule;Teno;30.973;3.914;12,64%;9,21%;16,06%;Si;Directa y Sintética (Fay-Herriot);
7309;VII del Maule;Vichuquén;4.377;613;14,00%;10,22%;17,78%;Si;Sintética;
7401;VII del Maule;Linares;101.416;11.045;10,89%;8,38%;13,40%;Si;Directa y Sintética (Fay-Herriot);
7402;VII del Maule;Colbún;22.668;3.345;14,76%;11,32%;18,20%;Si;Directa y Sintética (Fay-Herriot);
7403;VII del Maule;Longaví;32.902;5.383;16,36%;12,70%;20,02%;Si;Directa y Sintética (Fay-Herriot);
7404;VII del Maule;Parral;44.664;6.247;13,99%;10,36%;17,61%;Si;Directa y Sintética (Fay-Herriot);
7405;VII del Maule;Retiro;21.121;3.590;17,00%;13,18%;20,82%;Si;Directa y Sintética (Fay-Herriot);
7406;VII del Maule;San Javier;49.678;6.390;12,86%;9,67%;16,06%;Si;Directa y Sintética (Fay-Herriot);
7407;VII del Maule;Villa Alegre;17.574;2.844;16,18%;12,47%;19,90%;Si;Directa y Sintética (Fay-Herriot);
7408;VII del Maule;Yerbas Buenas;19.267;3.208;16,65%;13,03%;20,27%;Si;Directa y Sintética (Fay-Herriot);
8101;VIII del Biobío;Concepción;238.165;26.023;10,93%;8,92%;12,93%;Si;Directa y Sintética (Fay-Herriot);
8102;VIII del Biobío;Coronel;126.207;17.462;13,84%;11,07%;16,61%;Si;Directa y Sintética (Fay-Herriot);
8103;VIII del Biobío;Chiguayante;91.279;9.926;10,87%;8,23%;13,52%;Si;Directa y Sintética (Fay-Herriot);
8104;VIII del Biobío;Florida;11.846;1.892;15,97%;11,84%;20,11%;Si;Sintética;
8105;VIII del Biobío;Hualqui;26.271;4.540;17,28%;13,62%;20,94%;Si;Directa y Sintética (Fay-Herriot);
8106;VIII del Biobío;Lota;45.714;6.596;14,43%;11,01%;17,85%;Si;Directa y Sintética (Fay-Herriot);
8107;VIII del Biobío;Penco;49.909;6.260;12,54%;9,32%;15,77%;Si;Directa y Sintética (Fay-Herriot);
8108;VIII del Biobío;San Pedro De La Paz;146.811;17.947;12,22%;9,53%;14,92%;Si;Directa y Sintética (Fay-Herriot);
8109;VIII del Biobío;Santa Juana;14.799;2.049;13,85%;10,57%;17,12%;Si;Directa y Sintética (Fay-Herriot);
8110;VIII del Biobío;Talcahuano;158.274;18.164;11,48%;9,25%;13,70%;Si;Directa y Sintética (Fay-Herriot);
8111;VIII del Biobío;Tomé;58.782;8.108;13,79%;10,64%;16,94%;Si;Directa y Sintética (Fay-Herriot);
8112;VIII del Biobío;Hualpén;97.350;10.108;10,38%;7,66%;13,10%;Si;Directa y Sintética (Fay-Herriot);
8201;VIII del Biobío;Lebu;27.113;4.683;17,27%;13,47%;21,07%;Si;Directa y Sintética (Fay-Herriot);
8202;VIII del Biobío;Arauco;38.717;5.052;13,05%;9,71%;16,38%;Si;Directa y Sintética (Fay-Herriot);
8203;VIII del Biobío;Cañete;37.056;6.899;18,62%;14,81%;22,42%;Si;Directa y Sintética (Fay-Herriot);
8204;VIII del Biobío;Contulmo;6.339;1.064;16,79%;12,34%;21,24%;Si;Sintética;
8205;VIII del Biobío;Curanilahue;33.899;4.625;13,64%;10,42%;16,87%;Si;Directa y Sintética (Fay-Herriot);
8206;VIII del Biobío;Los Álamos;22.576;3.824;16,94%;13,04%;20,84%;Si;Directa y Sintética (Fay-Herriot);
8207;VIII del Biobío;Tirúa;11.025;2.347;21,29%;14,98%;27,60%;Si;Sintética;
8301;VIII del Biobío;Los Ángeles;219.139;29.470;13,45%;10,85%;16,05%;Si;Directa y Sintética (Fay-Herriot);
8302;VIII del Biobío;Antuco;4.307;635;14,75%;11,34%;18,15%;Si;Directa y Sintética (Fay-Herriot);
8303;VIII del Biobío;Cabrero;30.777;4.116;13,37%;10,17%;16,58%;Si;Directa y Sintética (Fay-Herriot);
8304;VIII del Biobío;Laja;23.882;3.223;13,50%;10,09%;16,91%;Si;Directa y Sintética (Fay-Herriot);
8305;VIII del Biobío;Mulchén;31.047;5.121;16,49%;12,76%;20,23%;Si;Directa y Sintética (Fay-Herriot);
8306;VIII del Biobío;Nacimiento;27.969;4.065;14,54%;10,79%;18,28%;Si;Directa y Sintética (Fay-Herriot);
8307;VIII del Biobío;Negrete;10.450;1.589;15,20%;11,63%;18,78%;Si;Directa y Sintética (Fay-Herriot);
8308;VIII del Biobío;Quilaco;4.184;823;19,67%;14,89%;24,46%;Si;Sintética;
8309;VIII del Biobío;Quilleco;10.029;1.842;18,37%;14,34%;22,40%;Si;Directa y Sintética (Fay-Herriot);
8310;VIII del Biobío;San Rosendo;3.603;656;18,21%;13,70%;22,71%;Si;Sintética;
8311;VIII del Biobío;Santa Bárbara;14.608;2.866;19,62%;15,76%;23,48%;Si;Directa y Sintética (Fay-Herriot);
8312;VIII del Biobío;Tucapel;15.232;2.188;14,36%;10,99%;17,74%;Si;Directa y Sintética (Fay-Herriot);
8313;VIII del Biobío;Yumbel;22.138;3.652;16,50%;12,70%;20,29%;Si;Directa y Sintética (Fay-Herriot);
8314;VIII del Biobío;Alto Biobío;6.774;1.963;28,97%;21,10%;36,85%;Si;Sintética;
9101;IX de la Araucanía;Temuco;303.597;44.849;14,77%;12,35%;17,20%;Si;Directa y Sintética (Fay-Herriot);
9102;IX de la Araucanía;Carahue;25.499;5.832;22,87%;18,86%;26,89%;Si;Directa y Sintética (Fay-Herriot);
9103;IX de la Araucanía;Cunco;18.059;3.746;20,74%;16,99%;24,50%;Si;Directa y Sintética (Fay-Herriot);
9104;IX de la Araucanía;Curarrehue;7.818;1.935;24,75%;20,47%;29,04%;Si;Directa y Sintética (Fay-Herriot);
9105;IX de la Araucanía;Freire;25.457;4.784;18,79%;14,98%;22,61%;Si;Directa y Sintética (Fay-Herriot);
9106;IX de la Araucanía;Galvarino;12.630;3.005;23,79%;19,19%;28,40%;Si;Directa y Sintética (Fay-Herriot);
9107;IX de la Araucanía;Gorbea;15.121;2.892;19,13%;15,20%;23,05%;Si;Directa y Sintética (Fay-Herriot);
9108;IX de la Araucanía;Lautaro;40.872;7.569;18,52%;14,81%;22,22%;Si;Directa y Sintética (Fay-Herriot);
9109;IX de la Araucanía;Loncoche;24.750;4.161;16,81%;13,26%;20,37%;Si;Directa y Sintética (Fay-Herriot);
9110;IX de la Araucanía;Melipeuco;6.271;1.149;18,33%;14,51%;22,14%;Si;Directa y Sintética (Fay-Herriot);
9111;IX de la Araucanía;Nueva Imperial;33.824;6.753;19,96%;15,86%;24,07%;Si;Directa y Sintética (Fay-Herriot);
9112;IX de la Araucanía;Padre Las Casas;82.479;15.555;18,86%;15,31%;22,41%;Si;Directa y Sintética (Fay-Herriot);
9113;IX de la Araucanía;Perquenco;7.228;1.351;18,70%;14,62%;22,77%;Si;Directa y Sintética (Fay-Herriot);
9114;IX de la Araucanía;Pitrufquén;26.153;4.167;15,93%;12,39%;19,47%;Si;Directa y Sintética (Fay-Herriot);
9115;IX de la Araucanía;Pucón;29.895;4.565;15,27%;11,70%;18,84%;Si;Directa y Sintética (Fay-Herriot);
9116;IX de la Araucanía;Saavedra;12.774;2.856;22,36%;16,95%;27,77%;Si;Sintética;
9117;IX de la Araucanía;Teodoro Schmidt;15.781;3.450;21,86%;17,67%;26,06%;Si;Directa y Sintética (Fay-Herriot);
9118;IX de la Araucanía;Toltén;10.037;1.968;19,61%;15,23%;23,98%;Si;Sintética;
9119;IX de la Araucanía;Vilcún;30.973;5.345;17,26%;13,55%;20,96%;Si;Directa y Sintética (Fay-Herriot);
9120;IX de la Araucanía;Villarrica;59.283;8.976;15,14%;11,53%;18,75%;Si;Directa y Sintética (Fay-Herriot);
9121;IX de la Araucanía;Cholchol;12.377;2.886;23,32%;18,59%;28,04%;Si;Directa y Sintética (Fay-Herriot);
9201;IX de la Araucanía;Angol;56.152;8.345;14,86%;11,21%;18,51%;Si;Directa y Sintética (Fay-Herriot);
9202;IX de la Araucanía;Collipulli;26.201;5.139;19,61%;15,71%;23,52%;Si;Directa y Sintética (Fay-Herriot);
9203;IX de la Araucanía;Curacautín;18.192;3.670;20,17%;16,13%;24,22%;Si;Directa y Sintética (Fay-Herriot);
9204;IX de la Araucanía;Ercilla;8.456;2.004;23,70%;19,05%;28,35%;Si;Directa y Sintética (Fay-Herriot);
9205;IX de la Araucanía;Lonquimay;11.058;2.491;22,53%;17,50%;27,56%;Si;Sintética;
9206;IX de la Araucanía;Los Sauces;7.513;1.166;15,52%;12,21%;18,84%;Si;Directa y Sintética (Fay-Herriot);
9207;IX de la Araucanía;Lumaco;10.029;2.181;21,75%;17,51%;25,99%;Si;Directa y Sintética (Fay-Herriot);
9208;IX de la Araucanía;Purén;12.179;2.629;21,58%;17,60%;25,57%;Si;Directa y Sintética (Fay-Herriot);
9209;IX de la Araucanía;Renaico;10.854;1.938;17,85%;13,52%;22,19%;Si;Directa y Sintética (Fay-Herriot);
9210;IX de la Araucanía;Traiguén;19.302;3.521;18,24%;14,48%;22,01%;Si;Directa y Sintética (Fay-Herriot);
9211;IX de la Araucanía;Victoria;35.481;6.353;17,91%;14,21%;21,60%;Si;Directa y Sintética (Fay-Herriot);
10101;X de los Lagos;Puerto Montt;270.621;28.323;10,47%;8,49%;12,44%;Si;Directa y Sintética (Fay-Herriot);
10102;X de los Lagos;Calbuco;36.847;4.165;11,30%;8,25%;14,36%;Si;Directa y Sintética (Fay-Herriot);
10103;X de los Lagos;Cochamó;4.011;685;17,08%;12,41%;21,74%;No;Sintética;
10104;X de los Lagos;Fresia;12.648;2.414;19,09%;15,16%;23,02%;Si;Directa y Sintética (Fay-Herriot);
10105;X de los Lagos;Frutillar;20.293;2.459;12,12%;9,07%;15,16%;Si;Directa y Sintética (Fay-Herriot);
10106;X de los Lagos;Los Muermos;17.816;2.953;16,58%;12,82%;20,33%;Si;Directa y Sintética (Fay-Herriot);
10107;X de los Lagos;Llanquihue;18.652;2.297;12,32%;8,97%;15,66%;Si;Sintética;
10108;X de los Lagos;Maullín;14.886;1.961;13,17%;9,54%;16,80%;Si;Directa y Sintética (Fay-Herriot);
10109;X de los Lagos;Puerto Varas;48.908;4.132;8,45%;5,71%;11,18%;Si;Directa y Sintética (Fay-Herriot);
10201;X de los Lagos;Castro;47.739;4.299;9,01%;6,46%;11,55%;Si;Directa y Sintética (Fay-Herriot);
10202;X de los Lagos;Ancud;42.454;5.116;12,05%;9,11%;14,99%;Si;Directa y Sintética (Fay-Herriot);
10203;X de los Lagos;Chonchi;16.045;2.125;13,24%;10,04%;16,45%;Si;Directa y Sintética (Fay-Herriot);
10204;X de los Lagos;Curaco De Vélez;4.082;597;14,63%;10,79%;18,47%;Si;Sintética;
10205;X de los Lagos;Dalcahue;15.114;1.779;11,77%;8,54%;15,00%;Si;Directa y Sintética (Fay-Herriot);
10206;X de los Lagos;Puqueldón;4.204;448;10,65%;7,32%;13,98%;Si;Sintética;
10207;X de los Lagos;Queilén;5.542;783;14,12%;10,71%;17,53%;Si;Directa y Sintética (Fay-Herriot);
10208;X de los Lagos;Quellón;29.372;3.492;11,89%;8,25%;15,53%;Si;Directa y Sintética (Fay-Herriot);
10209;X de los Lagos;Quemchi;8.782;881;10,03%;6,84%;13,22%;Si;Directa y Sintética (Fay-Herriot);
